id,airline_code,departure_station,arrival_station,route_id_in_FOS,miles,Wind Miles,SUP,route_string(excluding departure and arrival stations),Supplemental Route,Only One route available
1,AAL,BWI,CLT,11,326,326,,TERPZ6 LYH CHSLY3 ,,
2,AAL,BWI,CLT,42,452,452,X,TERPZ6 SBV DCT RDU DCT OKNEE MLLET2 ,Y,
3,ENY,CHO,CLT,11,228,228,,DCT LYH CHSLY3 ,,
4,ENY,CHO,CLT,13,320,320,,DCT MOL J42 BKW DCT LNDIZ PARQR3 ,,
5,AAL,DCA,CLT,1,290,290,,SCRAM4 LYH CHSLY3 ,,
6,AAL,DCA,CLT,42,423,423,,BOOCK3 COLIN J61 HUBBS J193 KATZN DCT FKN DCT OKNEE MLLET2 ,,
7,AAL,DFW,CLT,45,837,837,,ZACHH3 BSKAT DCT LIT DCT BNA DCT TAZZA FILPZ3 ,,
8,AAL,DFW,CLT,1,839,839,,FORCK2 FORCK DCT ELD DCT SQS J52 ATL DCT BESTT JONZE2 ,,
9,AAL,GSO,CLT,11,88,88,,DCT CHSLY CHSLY3 ,,
10,AAL,GSO,CLT,12,177,177,,DCT WILUM PARQR3 ,,
11,ENY,GSO,CLT,11,88,88,,DCT CHSLY CHSLY3 ,,
12,AAL,HSV,CLT,11,313,313,,DCT TAZZA FILPZ3 ,,
13,AAL,HSV,CLT,12,336,336,,DCT ATL DCT BESTT JONZE1 ,,
14,AAL,IAD,CLT,41,283,283,,SCRAM3 LYH CHSLY3 ,,Y
15,AAL,LAS,CLT,14,1680,1680,,COWBY8 GUP DCT KA39Y DCT KK39E DCT KM39G DCT BNA DCT TAZZA FILPZ3 ,,
16,AAL,LAS,CLT,17,1742,1742,,COWBY8 GUP J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
17,AAL,LAX,CLT,41,1879,1879,,DOTSS2 CLEEE DCT PKE J78 DRK J96 GUP J8 BGD DCT TUL J46 BNA DCT TAZZA FILPZ3 ,,
18,AAL,LAX,CLT,15,1930,1930,,DOTSS2 CLEEE DCT PKE J74 TXO J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
19,AAL,MEM,CLT,1,462,462,,GOETZ5 GOETZ DCT BNA DCT TAZZA FILPZ3 ,,
20,AAL,MEM,CLT,11,508,508,,BBKNG5 KERMI DCT VUZ J14 ATL DCT BESTT JONZE2 ,,
21,AAL,ORF,CLT,1,262,262,X,DCT COUPN CHSLY3 ,Y,
22,ENY,ORF,CLT,11,262,262,,DCT COUPN CHSLY3 ,,
23,ENY,ORF,CLT,51,348,348,X,J174 ILM J4 BARTL DCT OKNEE MLLET2 ,Y,
24,AAL,PHL,CLT,11,399,399,,DCT STOEN J75 GVE DCT LYH CHSLY3 ,,
25,AAL,PHL,CLT,16,566,566,X,DCT MXE DCT PENSY J110 AIR DCT HVQ DCT LNDIZ PARQR3 ,Y,
26,AAL,PHX,CLT,11,1552,1552,,BROAK1 MAXXO DCT IRW DCT FSM DCT ARG DCT TAZZA FILPZ3 ,,
27,AAL,PHX,CLT,44,1592,1592,,DCT MAXXO DCT CNX J74 TXO J72 SPS DCT TXK J52 ATL DCT BESTT JONZE2 ,,
28,AAL,RDU,CLT,1,126,126,,DCT CATAR DCT SDAIL CHSLY3 ,,
29,AAL,RDU,CLT,41,346,346,X,DCT FAY DCT CHS STOCR2 ,Y,
30,AAL,RIC,CLT,1,241,241,,KALLI3 LYH CHSLY3 ,,
31,AAL,RIC,CLT,43,309,309,X,DCT HPW DCT TYI DCT TORQD MLLET2 ,Y,
32,ENY,RIC,CLT,1,241,241,,KALLI3 LYH CHSLY3 ,,
33,AAL,SFO,CLT,41,2001,2001,,TRUKN2 SYRAH Q128 EDLES DCT KD51W DCT KK45G DCT BNA DCT TAZZA FILPZ3 ,,
34,AAL,SFO,CLT,21,2073,2073,,TRUKN2 SYRAH Q128 FLOOD DCT PUB J28 GCK J110 STL J134 FLM DCT TAFTT PARQR3 ,,
