Carrier,ID,ORIG,Ref_Central_Time,ETD,AFIX,AFIX_New,EAFT,EAFT_New,Route_ID_New,Extra Wind Miles
ENY,3845,GGG,2018-07-16 05:19:00,2018-07-16 11:49:00,BEREE,BRDJE,2018-07-16 12:05:00,2018-07-16 12:03:48,13,-10
ASH,5733,LFT,2018-07-16 05:01:00,2018-07-16 11:31:00,BEREE,BRDJE,2018-07-16 12:11:00,2018-07-16 12:12:44,,15
ENY,3671,XNA,2018-07-16 05:13:00,2018-07-16 11:43:00,BRDJE,VKTRY,2018-07-16 12:18:00,2018-07-16 12:22:40,13,39
AAL,2261,STL,2018-07-16 04:46:00,2018-07-16 11:16:00,BRDJE,VKTRY,2018-07-16 12:27:00,2018-07-16 12:33:14,12,52
ASQ,2869,JLN,2018-07-16 05:24:00,2018-07-16 11:54:00,BRDJE,VKTRY,2018-07-16 12:35:00,2018-07-16 12:36:03,,9
ASH,5951,HSV,2018-07-16 04:42:00,2018-07-16 11:12:00,BEREE,BRDJE,2018-07-16 12:26:00,2018-07-16 12:12:18,,-118
AAL,1102,MSY,2018-07-16 05:07:00,2018-07-16 11:37:00,BEREE,BRDJE,2018-07-16 12:24:00,2018-07-16 12:34:04,16,84
AAL,1090,TUL,2018-07-16 05:38:00,2018-07-16 12:08:00,BRDJE,VKTRY,2018-07-16 12:40:00,2018-07-16 12:43:07,13,26
ENY,4112,CID,2018-07-16 05:50:00,2018-07-16 12:20:00,BRDJE,VKTRY,2018-07-16 13:48:00,2018-07-16 13:49:12,12,10
AAL,1572,TUL,2018-07-16 06:49:00,2018-07-16 13:19:00,BRDJE,VKTRY,2018-07-16 13:48:00,2018-07-16 13:51:07,13,26
ENY,3794,LIT,2018-07-16 06:43:00,2018-07-16 13:13:00,BRDJE,BEREE,2018-07-16 13:50:00,2018-07-16 13:59:57,13,83
AAL,1625,ORD,2018-07-16 05:52:00,2018-07-16 12:22:00,BRDJE,VKTRY,2018-07-16 13:59:00,2018-07-16 14:07:09,13,68
ENY,3582,MSN,2018-07-16 05:49:00,2018-07-16 12:19:00,BRDJE,VKTRY,2018-07-16 13:59:00,2018-07-16 14:01:45,12,23
AAL,1302,RDU,2018-07-16 05:21:00,2018-07-16 11:51:00,BRDJE,BEREE,2018-07-16 14:08:00,2018-07-16 14:16:16,14,69
AAL,2621,MKE,2018-07-16 05:43:00,2018-07-16 12:13:00,BRDJE,VKTRY,2018-07-16 14:07:00,2018-07-16 14:16:36,11,80
AAL,1344,CHS,2018-07-16 05:36:00,2018-07-16 12:06:00,BRDJE,BEREE,2018-07-16 14:05:00,2018-07-16 14:07:16,12,19
AAL,2535,SAN,2018-07-16 07:20:00,2018-07-16 13:50:00,VKTRY,BOOVE,2018-07-16 16:14:00,2018-07-16 16:15:29,1,13
ASH,5780,LBB,2018-07-16 09:10:00,2018-07-16 15:40:00,VKTRY,BOOVE,2018-07-16 16:14:00,2018-07-16 16:18:52,,42
ENY,3922,GGG,2018-07-16 11:26:00,2018-07-16 17:56:00,BEREE,BRDJE,2018-07-16 18:12:00,2018-07-16 18:10:48,13,-10
ASH,5731,HOU,2018-07-16 11:14:00,2018-07-16 17:44:00,BEREE,BOOVE,2018-07-16 18:11:00,2018-07-16 18:18:11,,62
