,ACID,ETMSID,DEST,ACENTR,ORIG,DCENTR,ETD,ETA,DFIX,EDFT,DP,DTRSN,AFIX,EAFT,STAR,STRSN,USR,TYPE,CTG,CLS,ARTD,ARTA,SGTD,SGTA,IGTD,IGTA,PGTD,PGTA,PETE,LRTD,LRTA,LGTD,LGTA,ERTD,ERTA,OUT,OFF,ON,IN,OETD,OETA,BETD,BETA,OCTD,OCTA,CTD,CTA,ASLOT,CTL_ELEM,CTL_PRGM,CTL_TYPE,CTL_EXMPT,SL_HOLD,DVREC,UX,FX,RZ,RS,TO,DV,RM,ALD,GDP,AFP,CTOP,DAS,GSD,TOD,CTL_ALM,CDM_MBR,SUB,MAJOR,GCD,LTOD,NRP,LFG,III,ATV,SWP,DVT,ADC,FCA,WXR,Carrier,ID
1,AAL996,AAL996,DFW,ZFW,SAEZ,ZSA,E062322,A070950,-,-,-,-,-,-,-,-,C,B772,J,H,-,070950,-,-,062301,071007,-,-,-,062322,070950,062308,070959,062322,070950,062308,062322,070950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,AAL,04604,000,-,-,-,-,-,-,-,-,-,AAL,996
2,AAL962,AAL962,DFW,ZFW,SBGR,ZSA,E070003,A070953,-,-,-,-,-,-,WHINY4,CRIED,C,B77W,J,H,-,070953,-,-,062350,071003,-,-,584,070003,070953,062341,071002,070003,070953,062341,070003,070953,070958,070010,070954,070010,070954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,04448,000,-,-,-,-,-,-,-,-,-,AAL,962
3,AAL1122,AAL1122,DFW,ZFW,SKBO,ZCO,E070449,A070957,-,-,-,-,-,-,WHINY4,CRIED,C,A319,J,L,-,070957,070425,071015,070425,071015,070425,070945,310,070449,070957,070424,071006,070449,070957,070424,070449,070957,-,070502,071023,070502,071023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,02122,000,-,-,-,-,-,-,-,-,-,AAL,1122
4,NKS972,NKS972,DFW,ZFW,PHX,ZAB,A070808,A071000,BROAK,070816,BROAK,MAXXO,-,-,-,-,C,A320,J,L,070808,071000,070748,071000,070748,071000,070748,070958,-,070808,-,070748,071015,-,-,070754,070808,-,-,070757,070953,070807,071003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,NKS,00752,010,-,-,-,-,-,-,-,-,-,NKS,972
5,ASA660,ASA660,DFW,ZFW,SEA,ZSE,A070636,E071001,SUMMA,070646,SUMMA,SUMMA,-,-,-,-,C,B739,J,L,070636,-,070628,071015,070628,071015,070628,071004,-,-,-,070628,071011,-,-,-,-,-,-,070639,071003,070639,071003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0x0000,Y,Y,ASA,01440,000,-,-,-,-,-,-,-,-,-,ASA,660
7,AAL2254,AAL2254,DFW,ZFW,LAX,ZLA,A070729,E071006,IPL,070744,DOTSS,CLEEE,-,-,-,-,C,A321,J,L,070729,-,070659,071013,070659,071013,070659,070953,-,070729,071010,070658,071019,070729,071010,070658,070729,-,-,070721,071005,070726,071010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,01070,005,-,-,-,-,-,-,-,-,-,AAL,2254
19,UPS768,UPS768,DFW,ZFW,SDF,ZID,A070917,E071045,CRRGO,070932,-,-,-,-,-,-,F,MD11,J,H,070917,-,-,-,070840,071035,070840,071027,-,070914,071054,070902,071102,-,-,070902,070917,-,-,070914,071051,070914,071051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,UPS,00635,000,-,-,-,-,-,-,-,-,-,UPS,768
221,SKW3165,SKW3165,DFW,ZFW,GRK,ZFW,L071345,L071436,-,-,-,-,BOOVE,-,-,-,C,CRJ7,J,L,-,-,071335,071447,071335,071447,-,-,-,071345,071436,071335,071447,-,-,-,-,-,-,071345,071436,071345,071436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,00117,000,-,-,-,-,-,-,-,-,-,SKW,3165
458,ASQ2851,ASQ2851,DFW,ZFW,LAW,ZFW,L071853,L071916,-,-,-,-,VKTRY,-,-,-,C,CRJ7,J,L,-,-,071839,071930,071839,071930,-,-,-,071853,071916,071839,071930,071853,071916,-,-,-,-,071853,071916,071853,071916,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,0x0000,Y,Y,AAL,00122,000,-,-,-,-,-,-,-,-,-,ASQ,2851
